Id,Nume,Prenume,Categorie,Data De Emitere,Data De Expirare,Suspendat
1,Gheorghe,Bogdan,BE,30/04/2017,28/04/2027,False
11,Marin,Maria,BE,01/10/2013,29/09/2023,False
25,Ungureanu,Andrei,BE,12/09/2011,09/09/2021,False
32,Ungureanu,Elena,BE,26/07/2013,24/07/2023,True
44,Stoica,Florin,BE,06/06/2019,03/06/2029,False
45,Petrescu,Ion,BE,08/09/2022,05/09/2032,True
55,Stoica,Raluca,BE,06/10/2012,04/10/2022,True
91,Tudor,Florin,BE,30/10/2015,27/10/2025,True
93,Popa,Ion,BE,11/10/2011,08/10/2021,False
119,Neagu,Adrian,BE,13/11/2015,10/11/2025,False

Total,10
