Id,Nume,Prenume,Categorie,Data De Emitere,Data De Expirare,Suspendat
2,Gheorghe,Cristina,C1E,26/11/2020,24/11/2030,True
6,Ungureanu,Florin,B,27/11/2018,24/11/2028,True
7,Popescu,Raluca,A,10/11/2012,08/11/2022,True
8,Tudor,Adrian,C1E,29/01/2014,27/01/2024,True
13,Ionescu,Ana,B1,28/07/2015,25/07/2025,True
14,Popescu,Adrian,BE,08/07/2012,06/07/2022,True
15,Radu,Ioana,C1E,08/09/2012,06/09/2022,True
16,Ionescu,Laura,C1,02/10/2017,30/09/2027,True
17,Marin,Maria,BE,12/10/2014,09/10/2024,True
18,Vasile,Mihai,D1E,20/10/2022,17/10/2032,True
21,Popa,Alexandru,C1E,23/07/2022,20/07/2032,True
23,Popescu,Maria,D1,26/03/2020,24/03/2030,True
24,Radu,Andrei,D1,15/08/2013,13/08/2023,True
26,Mihai,Elena,D1E,29/12/2011,26/12/2021,True
29,Marin,Andrei,C,16/06/2023,13/06/2033,True
30,Popa,Florin,DE,24/05/2019,21/05/2029,True
31,Mihai,Florin,D,12/09/2011,09/09/2021,True
32,Petrescu,Elena,D1,26/11/2018,23/11/2028,True
33,Ionescu,Adrian,A1,24/07/2015,21/07/2025,True
35,Stoica,Ioana,C1,03/11/2020,01/11/2030,True
36,Ungureanu,Cristina,A1,30/11/2015,27/11/2025,True
38,Radu,Bogdan,BE,30/05/2022,27/05/2032,True
39,Marin,Ioana,D1,01/03/2023,26/02/2033,True
42,Petrescu,Maria,CE,07/04/2015,04/04/2025,True
43,Dumitrescu,Florin,B1,31/05/2013,29/05/2023,True
45,Neagu,Maria,B,24/03/2014,21/03/2024,True
47,Stan,Raluca,A,09/09/2016,07/09/2026,True
48,Marin,Bogdan,A1,05/11/2022,02/11/2032,True
50,Marin,Elena,C1,08/10/2015,05/10/2025,True
51,Ionescu,Mihai,B,13/07/2012,11/07/2022,True
53,Stoica,Raluca,D1,05/12/2022,02/12/2032,True
54,Popa,Ana,D1,31/10/2014,28/10/2024,True
56,Popa,Elena,A1,18/07/2011,15/07/2021,True
57,Radu,Adrian,C,03/10/2012,01/10/2022,True
59,Popescu,Elena,CE,14/05/2021,12/05/2031,True
61,Tudor,Bogdan,CE,28/11/2016,26/11/2026,True
62,Ungureanu,Maria,D1E,26/10/2018,23/10/2028,True
63,Popa,Alexandru,B,21/07/2013,19/07/2023,True
64,Stoica,Elena,B1,05/03/2021,03/03/2031,True
65,Dumitrescu,Ion,A1,22/01/2020,19/01/2030,True
66,Ionescu,Elena,DE,04/08/2016,02/08/2026,True
68,Marin,Raluca,DE,12/04/2011,09/04/2021,True
70,Petrescu,Elena,A1,08/02/2018,06/02/2028,True
71,Neagu,Florin,BE,25/11/2011,22/11/2021,True
74,Stoica,Mihai,CE,25/03/2019,22/03/2029,True
77,Radu,Laura,D,19/08/2021,17/08/2031,True
79,Radu,Cristina,D,13/01/2019,10/01/2029,True
82,Neagu,Ioana,C,08/07/2013,06/07/2023,True
83,Radu,Adrian,B,19/01/2023,16/01/2033,True
84,Marin,Andrei,D1E,22/09/2019,19/09/2029,True
86,Gheorghe,Gabriel,D1,08/10/2012,06/10/2022,True
87,Mihai,Ioana,D1,24/07/2016,22/07/2026,True
88,Neagu,Cristina,D,25/05/2014,22/05/2024,True
89,Vasile,Elena,B1,22/03/2018,19/03/2028,True
90,Stoica,Laura,C1,21/02/2014,19/02/2024,True
95,Tudor,Laura,A1,08/11/2012,06/11/2022,True
97,Dumitrescu,Andrei,CE,30/03/2015,27/03/2025,True
99,Popescu,Florin,A,06/10/2023,03/10/2033,True
103,Petrescu,Mihai,DE,20/04/2011,17/04/2021,True
104,Ungureanu,Mihai,C1E,03/04/2023,31/03/2033,True
105,Stoica,Laura,DE,25/05/2018,22/05/2028,True
107,Dumitrescu,Alexandru,C,19/02/2024,16/02/2034,True
111,Neagu,Raluca,D1,03/06/2014,31/05/2024,True
121,Ungureanu,Laura,B,08/02/2015,05/02/2025,True
123,Ungureanu,Florin,C1,14/05/2012,12/05/2022,True
124,Ungureanu,Maria,C1,13/05/2020,11/05/2030,True
126,Dumitrescu,Raluca,C1E,04/10/2019,01/10/2029,True
127,Vasile,Raluca,D1E,18/10/2011,15/10/2021,True
129,Stan,Mihai,C1E,13/07/2021,11/07/2031,True
131,Popescu,Florin,DE,30/12/2020,28/12/2030,True
133,Mihai,Bogdan,D,03/10/2011,30/09/2021,True
134,Ungureanu,Alexandru,C1E,14/11/2020,12/11/2030,True
136,Ungureanu,Andrei,C1E,01/06/2014,29/05/2024,True
142,Ungureanu,Ana,B1,22/06/2020,20/06/2030,True
143,Petrescu,Alexandru,C,05/04/2022,02/04/2032,True
144,Dumitrescu,Raluca,D1,02/06/2022,30/05/2032,True
145,Neagu,Laura,D1,21/11/2015,18/11/2025,True
146,Petrescu,Florin,B,15/09/2021,13/09/2031,True
147,Petrescu,Ion,DE,07/05/2023,04/05/2033,True
149,Popescu,Raluca,C,03/10/2016,01/10/2026,True
150,Ionescu,Ioana,B1,18/01/2020,15/01/2030,True
