Id,Nume,Prenume,Categorie,Data De Emitere,Data De Expirare,Suspendat
1,Petrescu,Adrian,D1,15/07/2023,12/07/2033,False
2,Gheorghe,Cristina,C1E,26/11/2020,24/11/2030,True
3,Ionescu,Gabriel,C1,25/03/2015,22/03/2025,False
4,Tudor,Gabriel,B1,17/06/2019,14/06/2029,False
6,Ungureanu,Florin,B,27/11/2018,24/11/2028,True
9,Popa,Raluca,BE,27/03/2021,25/03/2031,False
10,Popescu,Maria,C1E,22/06/2015,19/06/2025,False
11,Neagu,Ioana,BE,24/06/2015,21/06/2025,False
12,Petrescu,Laura,BE,11/09/2014,08/09/2024,False
13,Ionescu,Ana,B1,28/07/2015,25/07/2025,True
16,Ionescu,Laura,C1,02/10/2017,30/09/2027,True
17,Marin,Maria,BE,12/10/2014,09/10/2024,True
18,Vasile,Mihai,D1E,20/10/2022,17/10/2032,True
19,Stan,Cristina,B,16/12/2022,13/12/2032,False
20,Marin,Ana,C1,22/10/2015,19/10/2025,False
21,Popa,Alexandru,C1E,23/07/2022,20/07/2032,True
22,Petrescu,Elena,D1,21/09/2014,18/09/2024,False
23,Popescu,Maria,D1,26/03/2020,24/03/2030,True
25,Vasile,Cristina,A1,31/08/2014,28/08/2024,False
27,Petrescu,Maria,D,15/07/2016,13/07/2026,False
28,Gheorghe,Elena,B1,15/10/2016,13/10/2026,False
29,Marin,Andrei,C,16/06/2023,13/06/2033,True
30,Popa,Florin,DE,24/05/2019,21/05/2029,True
32,Petrescu,Elena,D1,26/11/2018,23/11/2028,True
33,Ionescu,Adrian,A1,24/07/2015,21/07/2025,True
34,Gheorghe,Andrei,C,06/07/2014,03/07/2024,False
35,Stoica,Ioana,C1,03/11/2020,01/11/2030,True
36,Ungureanu,Cristina,A1,30/11/2015,27/11/2025,True
37,Stan,Ana,B,22/03/2017,20/03/2027,False
38,Radu,Bogdan,BE,30/05/2022,27/05/2032,True
39,Marin,Ioana,D1,01/03/2023,26/02/2033,True
40,Neagu,Adrian,B,20/05/2020,18/05/2030,False
41,Vasile,Ana,D1E,26/09/2022,23/09/2032,False
42,Petrescu,Maria,CE,07/04/2015,04/04/2025,True
45,Neagu,Maria,B,24/03/2014,21/03/2024,True
47,Stan,Raluca,A,09/09/2016,07/09/2026,True
48,Marin,Bogdan,A1,05/11/2022,02/11/2032,True
49,Vasile,Ion,B,09/12/2015,06/12/2025,False
50,Marin,Elena,C1,08/10/2015,05/10/2025,True
52,Marin,Bogdan,C1,09/10/2021,07/10/2031,False
53,Stoica,Raluca,D1,05/12/2022,02/12/2032,True
54,Popa,Ana,D1,31/10/2014,28/10/2024,True
58,Ungureanu,Ana,DE,01/10/2017,29/09/2027,False
59,Popescu,Elena,CE,14/05/2021,12/05/2031,True
60,Ungureanu,Ion,BE,13/07/2022,10/07/2032,False
61,Tudor,Bogdan,CE,28/11/2016,26/11/2026,True
62,Ungureanu,Maria,D1E,26/10/2018,23/10/2028,True
64,Stoica,Elena,B1,05/03/2021,03/03/2031,True
65,Dumitrescu,Ion,A1,22/01/2020,19/01/2030,True
66,Ionescu,Elena,DE,04/08/2016,02/08/2026,True
69,Neagu,Gabriel,C1,01/04/2023,29/03/2033,False
70,Petrescu,Elena,A1,08/02/2018,06/02/2028,True
73,Ionescu,Adrian,DE,29/12/2015,26/12/2025,False
74,Stoica,Mihai,CE,25/03/2019,22/03/2029,True
75,Neagu,Gabriel,CE,10/08/2022,07/08/2032,False
76,Ionescu,Gabriel,D1E,09/11/2016,07/11/2026,False
77,Radu,Laura,D,19/08/2021,17/08/2031,True
78,Mihai,Raluca,A1,23/01/2016,20/01/2026,False
79,Radu,Cristina,D,13/01/2019,10/01/2029,True
80,Gheorghe,Ion,C1E,11/04/2022,08/04/2032,False
81,Vasile,Alexandru,C1,10/06/2017,08/06/2027,False
83,Radu,Adrian,B,19/01/2023,16/01/2033,True
84,Marin,Andrei,D1E,22/09/2019,19/09/2029,True
85,Tudor,Laura,DE,13/07/2022,10/07/2032,False
87,Mihai,Ioana,D1,24/07/2016,22/07/2026,True
88,Neagu,Cristina,D,25/05/2014,22/05/2024,True
89,Vasile,Elena,B1,22/03/2018,19/03/2028,True
91,Popa,Mihai,BE,13/01/2024,10/01/2034,False
92,Tudor,Alexandru,B1,10/07/2017,08/07/2027,False
93,Ungureanu,Gabriel,D1,27/05/2020,25/05/2030,False
94,Radu,Laura,A1,17/06/2023,14/06/2033,False
96,Gheorghe,Maria,BE,06/05/2023,03/05/2033,False
97,Dumitrescu,Andrei,CE,30/03/2015,27/03/2025,True
98,Popescu,Cristina,BE,12/08/2014,09/08/2024,False
99,Popescu,Florin,A,06/10/2023,03/10/2033,True
100,Popa,Ioana,A,18/07/2015,15/07/2025,False
101,Popa,Andrei,C,24/10/2014,21/10/2024,False
104,Ungureanu,Mihai,C1E,03/04/2023,31/03/2033,True
105,Stoica,Laura,DE,25/05/2018,22/05/2028,True
106,Vasile,Bogdan,C1,28/11/2015,25/11/2025,False
107,Dumitrescu,Alexandru,C,19/02/2024,16/02/2034,True
108,Gheorghe,Ion,C1,07/07/2022,04/07/2032,False
109,Gheorghe,Adrian,DE,06/10/2022,03/10/2032,False
110,Mihai,Ion,C1,25/12/2023,22/12/2033,False
111,Neagu,Raluca,D1,03/06/2014,31/05/2024,True
112,Ungureanu,Florin,B1,10/05/2015,07/05/2025,False
113,Radu,Adrian,BE,10/01/2021,08/01/2031,False
114,Mihai,Ana,D,11/10/2019,08/10/2029,False
115,Petrescu,Ioana,D,07/05/2021,05/05/2031,False
116,Petrescu,Bogdan,D,05/06/2018,02/06/2028,False
117,Neagu,Ion,D1E,04/11/2021,02/11/2031,False
118,Popa,Andrei,D1,08/01/2020,05/01/2030,False
119,Ungureanu,Bogdan,C,17/10/2023,14/10/2033,False
120,Neagu,Gabriel,B1,17/05/2022,14/05/2032,False
121,Ungureanu,Laura,B,08/02/2015,05/02/2025,True
122,Petrescu,Alexandru,C,25/10/2020,23/10/2030,False
124,Ungureanu,Maria,C1,13/05/2020,11/05/2030,True
126,Dumitrescu,Raluca,C1E,04/10/2019,01/10/2029,True
128,Vasile,Andrei,CE,20/06/2014,17/06/2024,False
129,Stan,Mihai,C1E,13/07/2021,11/07/2031,True
130,Popescu,Gabriel,C1E,20/10/2021,18/10/2031,False
131,Popescu,Florin,DE,30/12/2020,28/12/2030,True
134,Ungureanu,Alexandru,C1E,14/11/2020,12/11/2030,True
136,Ungureanu,Andrei,C1E,01/06/2014,29/05/2024,True
137,Mihai,Adrian,D1,28/03/2018,25/03/2028,False
138,Gheorghe,Bogdan,D1E,24/11/2021,22/11/2031,False
139,Petrescu,Ana,A1,30/07/2020,28/07/2030,False
140,Neagu,Mihai,D,26/11/2022,23/11/2032,False
141,Popescu,Cristina,D1,26/01/2017,24/01/2027,False
142,Ungureanu,Ana,B1,22/06/2020,20/06/2030,True
143,Petrescu,Alexandru,C,05/04/2022,02/04/2032,True
144,Dumitrescu,Raluca,D1,02/06/2022,30/05/2032,True
